rank,title,description,date
96,木組み伝統工法を一般住宅に採用、創建,（株）創建（大阪市中央区）と（株）木の城たいせつ（北海道夕張郡）は、神社仏閣の建築に用いられる木組み工法の伝統技術を取り入れた住宅「千年品質伝統工法の家 Kinoshiro2020『INOCHI』...,2019年12月13日 (金)
97,原宿駅前の複合施設「WITH HARAJUKU」、2020年4月に開業,NTT都市開発（株）はこのたび、原宿駅前で開発を進める複合施設「WITH HARAJUKU（ウィズ原宿）」（東京都渋谷区）の概要を発表した。,2019年12月13日 (金)
98,新築マンション年収倍率、全国平均は8.09倍,（株）東京カンテイはこのたび、2018年「新築マンション年収倍率」を発表した。これは、各都道府県で分譲された新築マンション価格（70m2換算）を平均年収で除し、新築価格が年収の何倍に相...,2019年12月13日 (金)
99,中古マンション年収倍率、全国平均は5.47倍,（株）東京カンテイはこのたび、2018年「築10年中古マンション年収倍率」を発表した。これは、2018年における築10年中古マンション価格（70m2換算）を平均年収で除し、中古価格が年収の何倍...,2019年12月13日 (金)
100,首都圏中古マンション、成約件数は前年比1.6%減,（公財）東日本不動産流通機構（東日本レインズ）はこのたび、首都圏（1都3県）における2019年11月度・不動産流通市場の動向を発表した。,2019年12月13日 (金)
101,「勝間和代さんに聞く“汚部屋“ 一番快適な場所に！ 人生が変わったきっか…,新元号が変わり最初の年末が訪れようとしています。節目のタイミングを意識してか、SUUMOジャーナルで11月に公開した記事では「勝間和代さんインタビュー：“汚部屋“が一転、一番快適な場所に...,2019年12月13日 (金)
102,【カップル＆ファミリー編】新橋駅まで30分以内・中古マンション価格相場が…,さまざまな企業がオフィスを構え、「サラリーマンの聖地」とも呼ばれる新橋駅。仕事後の憩いの場である居酒屋も豊富にあり、新橋で働く人のなかには「家が近ければ飲んでから帰宅するのも楽...,2019年12月13日 (金)
103,森林調査、2割が農山村に定住意向あり、7割が木造住宅を選びたい,森林の存在や木材の利用は、私たちの生活に深くかかわっており、その効用にも注目されている。内閣府が「森林と生活に関する世論調査」の令和元年版（全国の18歳以上の3000人を対象に個別面...,2019年12月11日 (水)
104,沖縄の大型商業施設「iias沖縄豊崎」、2020年4月下旬オープン,大和ハウス工業（株）はこのたび、沖縄県に開発する大型商業施設の名称を「iias（イーアス）沖縄豊崎」に決定した。開業は2020年4月下旬の予定。,2019年12月10日 (火)
105,高額マンション居住者、約47%が「つい無駄遣いをしてしまうことがある」,"（株）読売広告社都市生活研究所はこのたび、高額マンション居住者（7,000万円～1億2,000万円マンション購入層）の生活者像と、その消費スタイルの調査・研究を行った。",2019年12月10日 (火)
106,新築一戸建て平均価格、首都圏は3ヵ月連続上昇,（株）東京カンテイは12月9日、2019年11月度「新築木造一戸建て住宅平均価格」を発表した。,2019年12月10日 (火)
107,中古一戸建て価格、首都圏は2ヵ月連続上昇,（株）東京カンテイは12月9日、2019年11月度「中古木造一戸建て住宅平均価格」を発表した。,2019年12月10日 (火)
108,新築小規模一戸建て価格、首都圏は反転上昇,（株）東京カンテイは12月9日、2019年11月度「新築小規模木造一戸建て住宅平均価格」を発表した。,2019年12月10日 (火)
109,近畿圏新築マンション、2013年9月以来の大量供給,（株）不動産経済研究所は1月22日、2019年12月度「近畿圏のマンション市場動向」を発表した。,2020年1月24日 (金)
110,お墓は必要？ 将来どうする？ 漫画で「墓活（はかかつ）」を考えよう,お墓って、先祖代々のもの。自分もそこに入り、子孫が弔ってくれるってイメージ。でも、「子どもは女子だけで嫁いで姓も変わってしまった」「お墓が田舎にあって管理が難しい」「一生独身を...,2020年1月24日 (金)
111,テレワークが変えた暮らし[6]湘南で見つけた新しい生き方。「サーフィンを…,テレワーク（リモートワーク）を利用すると、出勤準備や通勤にあてていた時間が自由に使えるようになります。その時間で、サーフィンや畑などのやってみたかったことを始め、ついには新しい...,2020年1月23日 (木)
112,テレワークが住まいを変える！？2020年の住まいトレンドは「職住融合」,近年恒例となった、リクルートホールディングスの「2020年のトレンド予測」が発表された。これは、住まい・飲食・雇用など7領域の「新たな兆し」を見出して、2020年のトレンドになると予測し...,2020年1月22日 (水)
113,女性の物件選び、こだわり1位は「風呂・トイレ別」,（株）エコラボ・デザインハウスはこのほど、全国20代～30代女性を対象に「住みたい物件の条件」に関する意識調査を行った。調査は2019年12月12日（木）・13日（金）にインターネットで実施...,2020年1月21日 (火)
114,令和時代の理想のパパ像、1位は「つるの剛士さん」,（株）東北新社が運営する「家men総合研究所」は、男性の家事・育児に対する意識や令和時代のパパの実態についてアンケート調査を行った。,2020年1月21日 (火)
115,渋谷で公園・ホテル等の一体開発、街区名は「MIYASHITA PARK」に,渋谷区渋谷一丁目及び神宮前六丁目で進められてきた「（仮称）新宮下公園等整備事業」（東京都渋谷区）の街区名が、このたび「MIYASHITA PARK」に決定した。竣工は2020年4月、グランドオープ...,2020年1月21日 (火)
116,高架下商業空間「日比谷ＯＫＵＲＯＪＩ」、6月下旬にオープン,（株）ジェイアール東日本都市開発は本年6月下旬、JR「有楽町駅」～「新橋駅間」の高架下空間に「日比谷ＯＫＵＲＯＪＩ」（東京都千代田区）を開業する。,2020年1月21日 (火)
117,横浜北仲エリアの複合施設、4月に完成,横浜北仲エリアの新たなランドマークとして開発が進んできた複合施設「（仮称）馬車道駅直結 横浜北仲タワープロジェクト」が、本年4月に完成する。,2020年1月21日 (火)
118,名古屋で商業施設とオフィスビルを一体整備、NTT都市開発,NTT都市開発（株）は、名古屋市東区で開発を進めている建物名称を「アーバンネット名古屋ネクスタビル」に決定し、このたび新築工事に着手した。,2020年1月21日 (火)
119,“暖房をつけても寒い”は家に問題が！ 解決策は「住まいの温活」,寒さが本格化するこの季節。思わず暖房をガンガン効かせたくなるけど、光熱費がかさむし、地球にも優しくない。そこで考えたいのが、住まいそのものを寒さから守ること。外の寒さを閉め出し...,2020年1月21日 (火)
120,「東京23区の家賃相場が安い駅ランキング 2019年版」「家賃がマイホー…,新しい年がはじまりました。今年の目標に、家の引越しや購入を考える人も多いのでは。SUUMOジャーナルで昨年12月に公開した記事では、そんな人にも改めて参考になる「東京23区の家賃相場が安...,2020年1月20日 (月)
121,冬の暮らし、最も困ることは「光熱費があがる」,（株）リクルート住まいカンパニーが運営する不動産・住宅情報サイト「SUUMO（スーモ）」は、このたび「暮らしにおける冬の寒さ対策」をテーマにアンケート・調査を行い、その結果を発表した...,2020年1月17日 (金)
122,神宮前六丁目の再開発事業、都より権利変換認可,神六再開発（株）と東急不動産（株）は、共に進めている「神宮前六丁目地区第一種市街地再開発事業」において、2020年1月9日付で東京都知事より権利変換計画の認可を受けた。,2020年1月17日 (金)
123,首都圏の住宅地価格、「値上がり地点」と「値下がり地点」が増加,野村不動産アーバンネット（株）は1月14日、2020年1月1日時点における首都圏「住宅地価格動向」の調査結果を発表した。,2020年1月17日 (金)
124,首都圏中古マンション成約件数、3ヶ月連続減少,（公財）東日本不動産流通機構（東日本レインズ）は1月15日、首都圏の2019年12月度・不動産流通市場の動向を発表した。,2020年1月17日 (金)
125,12月の分譲マンション賃料、首都圏は3ヵ月連続上昇,（株）東京カンテイは1月16日、2019年12月度「三大都市圏・主要都市別／分譲マンション賃料月別推移」を発表した。,2020年1月17日 (金)
126,19年の首都圏分譲マンション賃料、前年比4.5%上昇,（株）東京カンテイはこのたび、2019年「三大都市圏・主要都市別/分譲マンション賃料推移」を発表した。,2020年1月17日 (金)
127,”アート後進国”日本を変える？ 絵画サブスクのある暮らしとは,ZOZO創業者の前澤友作氏によるバスキアの絵画購入や、「美意識」をテーマにしたビジネス書がベストセラーになるなどの影響で、最近アートに関心をもつ人が増えている。その一方で、日本は諸...,2020年1月17日 (金)
128,移住者をドラフト会議で指名!? 南九州の移住支援がおもしろい！,2014年、「地方創生」の掛け声のもと、日本全国で移住相談窓口やHP開設など移住支援施策が活発化した。それから5年が経過し、地域によって成果の明暗は分かれつつある。いまだ多くの人にとっ...,2020年1月16日 (木)
129,中古住宅買取再販市場が急成長！その理由は？メリットや注意点は？,矢野経済研究所が、中古住宅買取再販市場の市場規模を予測した。住宅市場の縮小が懸念されるなか、中古住宅買取再販市場については大幅に拡大すると予測している。市場はなぜ大きく成長する...,2020年1月15日 (水)
130,単身者の約6割、「家の広さより利便性を優先」,日鉄興和不動産（株）（東京都港区）は、（株）オカムラ（神奈川県横浜市）と共同で「働き方改革における単身者の生活変化の実態調査」を行った。調査結果は、首都圏の30歳～49歳男女300サン...,2020年1月14日 (火)
131,福岡市「旧大名小学校跡地」の再開発が認定,国土交通省は1月10日、都市再生特別措置法の規定に基づき、民間都市再生事業計画「旧大名小学校跡地活用事業」（福岡市中央区大名二丁目）を認定した。,2020年1月14日 (火)
132,白金の旧耐震マンションを建替え、旭化成不動産レジデンス,旭化成不動産レジデンス（株）が参画する「日興パレス白金マンション建替組合」（東京都港区白金台）が、2019年12月9日、港区より権利変換計画の認可を受けた。,2020年1月14日 (火)
133,地域密着型商業施設「SOCOLA」、東京・稲城市に第一弾,野村不動産（株）はこのたび、商業事業における新ブランド「SOCOLA（ソコラ）」シリーズを展開すると発表した。,2020年1月14日 (火)
134,「HARUMI FLAG」新街区、1月11日より事前案内会,三井不動産レジデンシャル（株）、三菱地所レジデンス（株）、野村不動産（株）などディベロッパー10社は、1月11日（土）より、「HARUMI FLAG」（東京・晴海）の新街区「SUN VILLAGE」第1期...,2020年1月10日 (金)
135,全世代の約8割、家は「買う派」,"カーディフ生命保険（株）はこのたび、全国の男女2,156人（男性1,091名、女性1,065名）を対象に、「生活価値観・住まいに関する意識調査」を行った。",2020年1月10日 (金)
136,近畿圏新築マンション、契約率は6カ月ぶりに70%割れ,"（株）不動産経済研究所は12月17日、2019年11月度「近畿圏のマンション市場動向」を発表した。それによると、11月の新規発売戸数は1,492戸。対前年同月（2,585戸）比42.3%減、対前月（1,271...",2019年12月20日 (金)
137,「恩送り基金」を創設し次世代へ託す。終活を楽しむ暮らし　あの人のお宅拝見…,今回お宅訪問したのは、元リクルートワークス研究所の名物研究員で筆者の大先輩の角方正幸さん。今年古希（70歳）を迎えた角方さんから『謝縁会』と名付けられた会への招待状が届き、「これ...,2019年12月20日 (金)
138,リトル・コリアだけじゃない！ “ごちゃ混ぜ”多国籍タウン、新大久保の最新…,リトル・コリアとして有名な新大久保。しかし、東京には西葛西の「リトル・インディア」、高田馬場の「リトル・ヤンゴン」、竹ノ塚の「リトル・マニラ」など、「リトル〇〇」と呼ばれる街が...,2019年12月19日 (木)
139,年末大掃除シーズン到来！床拭きの頻度はどの程度？二極化する掃除実態,年末の恒例行事といえば一家総出の「大掃除」か思い浮かぶが、最近では年末に大掃除をしない家庭も増えてきた。しない理由は、年代によって多少異なるようだ。大掃除の実態や二極化している...,2019年12月18日 (水)
140,「リノベーション・オブ・ザ・イヤー2019」、総合グランプリ決定,2019年を代表する魅力的なリノベーション事例を選ぶコンテスト「リノベーション・オブ・ザ・イヤー2019」（主催：一般社団法人リノベーション協議会）の総合グランプリ、部門別最優秀作品賞...,2019年12月17日 (火)
141,防災意識、約9割が「今後の災害増加を懸念」,セコム（株）は20代以上の男女を対象に「防災に関する意識調査」を行い、その結果を発表した。調査は2019年10月25日～27日、インターネットで実施。500名より回答を得た（20-29歳、30-39歳、...,2019年12月17日 (火)
142,11月の分譲マンション賃料、首都圏は僅かに上昇,（株）東京カンテイは12月16日、2019年11月度「三大都市圏・主要都市別／分譲マンション賃料月別推移」を発表した。,2019年12月17日 (火)
143,大阪駅直結の大型複合開発が始動,日本郵便（株）、西日本旅客鉄道（株）、大阪ターミナルビル（株）および（株）JTBは、大阪駅直結の大型複合開発「梅田3丁目計画（仮称）」を始動する。,2019年12月17日 (火)
144,"次世代住宅ポイント、11月の申請は3万2,242戸",国土交通省はこのたび、令和元年11月末時点における「次世代住宅ポイント制度」の実施状況を発表した。,2019年12月17日 (火)
145,東京23区の単身者、約4割が首都圏外から住み替え,（株）長谷工ライブネット（東京都港区）はこのたび、同社が管理運営する賃貸マンションの入居者属性を調査し、その結果を発表した。,2019年12月17日 (火)
146,日本一の「自転車のまち」へ。サイクリストが集う茨城県土浦市の暮らし,日本で二番目に大きな湖である霞ヶ浦。そのすぐほとりに位置する茨城県土浦市では、今日本各地からサイクリストが集まりつつある。官民一体となってのまちづくりが功を奏している証拠だ。一...,2019年12月17日 (火)
147,テレワークが変えた暮らし[2]千葉から石川県金沢市へ。移住先で始めた複業…,近年、テレワーク（リモートワーク）できる企業が増えつつある。ITを活用した場所にとらわれない働き方だが、遠隔で働くことが、自分たちの暮らしにいったいどんな作用をもたらすのだろうか...,2019年12月16日 (月)
148,本当に住みやすい街大賞2020、トップはJR京浜東北線「川口」,アルヒ（株）は12月11日、住宅専門家が厳選した1都3県の本当に住みやすい街TOP10を発表する「ARUHI presents 本当に住みやすい街大賞2020」を開催した。,2019年12月13日 (金)
149,空港直結複合施設「羽田エアポートガーデン」、2020年春開業,住友不動産（株）と羽田エアポート都市開発（株）はこのたび、羽田空港直結複合開発プロジェクトの街区名称を「羽田エアポートガーデン」（東京都大田区）とし、その計画概要を発表した。,2019年12月13日 (金)
150,木組み伝統工法を一般住宅に採用、創建,（株）創建（大阪市中央区）と（株）木の城たいせつ（北海道夕張郡）は、神社仏閣の建築に用いられる木組み工法の伝統技術を取り入れた住宅「千年品質伝統工法の家 Kinoshiro2020『INOCHI』...,2019年12月13日 (金)
151,原宿駅前の複合施設「WITH HARAJUKU」、2020年4月に開業,NTT都市開発（株）はこのたび、原宿駅前で開発を進める複合施設「WITH HARAJUKU（ウィズ原宿）」（東京都渋谷区）の概要を発表した。,2019年12月13日 (金)
152,新築マンション年収倍率、全国平均は8.09倍,（株）東京カンテイはこのたび、2018年「新築マンション年収倍率」を発表した。これは、各都道府県で分譲された新築マンション価格（70m2換算）を平均年収で除し、新築価格が年収の何倍に相...,2019年12月13日 (金)
153,中古マンション年収倍率、全国平均は5.47倍,（株）東京カンテイはこのたび、2018年「築10年中古マンション年収倍率」を発表した。これは、2018年における築10年中古マンション価格（70m2換算）を平均年収で除し、中古価格が年収の何倍...,2019年12月13日 (金)
154,首都圏中古マンション、成約件数は前年比1.6%減,（公財）東日本不動産流通機構（東日本レインズ）はこのたび、首都圏（1都3県）における2019年11月度・不動産流通市場の動向を発表した。,2019年12月13日 (金)
155,「勝間和代さんに聞く“汚部屋“ 一番快適な場所に！ 人生が変わったきっか…,新元号が変わり最初の年末が訪れようとしています。節目のタイミングを意識してか、SUUMOジャーナルで11月に公開した記事では「勝間和代さんインタビュー：“汚部屋“が一転、一番快適な場所に...,2019年12月13日 (金)
156,【カップル＆ファミリー編】新橋駅まで30分以内・中古マンション価格相場が…,さまざまな企業がオフィスを構え、「サラリーマンの聖地」とも呼ばれる新橋駅。仕事後の憩いの場である居酒屋も豊富にあり、新橋で働く人のなかには「家が近ければ飲んでから帰宅するのも楽...,2019年12月13日 (金)
157,森林調査、2割が農山村に定住意向あり、7割が木造住宅を選びたい,森林の存在や木材の利用は、私たちの生活に深くかかわっており、その効用にも注目されている。内閣府が「森林と生活に関する世論調査」の令和元年版（全国の18歳以上の3000人を対象に個別面...,2019年12月11日 (水)
158,沖縄の大型商業施設「iias沖縄豊崎」、2020年4月下旬オープン,大和ハウス工業（株）はこのたび、沖縄県に開発する大型商業施設の名称を「iias（イーアス）沖縄豊崎」に決定した。開業は2020年4月下旬の予定。,2019年12月10日 (火)
159,高額マンション居住者、約47%が「つい無駄遣いをしてしまうことがある」,"（株）読売広告社都市生活研究所はこのたび、高額マンション居住者（7,000万円～1億2,000万円マンション購入層）の生活者像と、その消費スタイルの調査・研究を行った。",2019年12月10日 (火)
160,新築一戸建て平均価格、首都圏は3ヵ月連続上昇,（株）東京カンテイは12月9日、2019年11月度「新築木造一戸建て住宅平均価格」を発表した。,2019年12月10日 (火)
161,中古一戸建て価格、首都圏は2ヵ月連続上昇,（株）東京カンテイは12月9日、2019年11月度「中古木造一戸建て住宅平均価格」を発表した。,2019年12月10日 (火)
162,新築小規模一戸建て価格、首都圏は反転上昇,（株）東京カンテイは12月9日、2019年11月度「新築小規模木造一戸建て住宅平均価格」を発表した。,2019年12月10日 (火)
163,年末の大掃除、50.3%が家族で行う,アイロボットジャパン合同会社（東京都千代田区）はこのほど、「年末の大掃除に関する意識調査」の結果を発表した。調査は2019年11月16日～18日、20～50代の既婚有職男女800名を対象にインタ...,2019年12月6日 (金)
164,年末年始の過ごし方、約半数は「自宅でゆっくり休む」,（株）エアトリ（東京都新宿区）はこのたび、20代～70代の男女を対象に「年末年始の過ごし方」に関するアンケート調査を行った。調査は2019年11月17日～11月20日にインターネットで実施。963...,2019年12月6日 (金)
165,新生「東急プラザ渋谷」グランドオープン,東急不動産（株）は12月5日、渋谷駅西口エリアの渋谷フクラス内に、新生「東急プラザ渋谷」をグランドオープンした。,2019年12月6日 (金)
166,豊洲の新商業施設「江戸前場下町」、1月24日オープン,三井不動産（株）は、東京・豊洲エリアで進める「千客万来施設事業用地（5街区）を活用した賑わい創出事業」の商業施設名称を「江戸前場下町（えどまえじょうかまち）」とし、2020年1月24日...,2019年12月6日 (金)
167,都内の住宅着工数、2か月連続減少,東京都は12月5日、「令和元年10月の新設住宅着工」を発表した。,2019年12月6日 (金)
168,デュアルライフ・二拠点生活[22] 東京と長野県松本市。温泉街の一軒家を…,向井さんは、平日は東京で仕事をし、週末は妻と息子が住む長野県松本市にある浅間温泉で築50年の家をリノベしながら過ごすという、二拠点生活を送っている。その暮らしぶり、二拠点生活を始...,2019年12月6日 (金)
169,分譲マンションのシェアリングサービス、ついに傘も登場！,分譲マンション、特に居住者の多い大規模なマンションで、各種のシェアリングサービスが広がっている。そしてついに、身近な「傘」のシェアリングサービスも開始される。詳しく見ていこう。,2019年12月4日 (水)
170,【フラット35】金利、2ヵ月連続上昇,（独）住宅金融支援機構は2日、2019年12月の住宅ローン【フラット35】等の金利を発表した。,2019年12月3日 (火)
171,「豊洲ベイサイドクロス」、4月24日に街びらき,三井不動産（株）は、豊洲二丁目駅前地区（東京都江東区）で推進している「（仮称）豊洲二丁目駅前地区第一種市街地再開発事業2-1街区 AC棟計画」の街区名を「豊洲ベイサイドクロス」とし、2...,2019年12月3日 (火)
172,東京・日本橋エリアで「アバター」の都市実装共同事業,三井不動産（株）とANAホールディングス（株）（ANAHD）は、東京・日本橋エリアにおいて、「アバター」の都市実装共同事業を12月より開始する。,2019年12月3日 (火)
173,有明の大規模複合開発、街区名称は「有明ガーデン」に決定,住友不動産（株）はこのたび、東京湾岸有明複合開発プロジェクト（東京都江東区）の街区名称を「有明ガーデン」とし、その計画概要を発表した。,2019年12月3日 (火)
174,リバースモーゲージ型住宅ローン、申込は「年金受給者」が6割超,（独）住宅金融支援機構はこのたび、リバースモーゲージ型住宅ローン【リ・バ ース６０】における2019年7月から9月までの利用実績等を発表した。,2019年12月3日 (火)
175,住宅着工戸数、4か月連続減少,"国土交通省はこのたび、2019年10月の住宅着工統計を発表した。それによると、10月の住宅着工戸数は前年同月比7.4%減の7万7,123戸、4か月連続の減少となった。",2019年12月3日 (火)
176,奄美大島の空き家をみんなでDIY。街のみんなの夢をかなえる場になるまで,あるときはアロマ教室、またあるときは居酒屋や人狼ゲーム会場……。奄美大島の集落にある一軒の古民家が、世代を超えて地域の人々をつなげる場を提供している。今回は、この『HUB a nice d!』...,2019年12月3日 (火)
177,台風被害からみえてきた、災害に備えた家づくり,台風15号や19号は、全国各地に大きな被害をもたらしました。神奈川県の一部や千葉県では、建物の屋根が飛び浸水するなどの事例が多数確認されています。,2019年12月2日 (月)
178,東京23区の家賃相場が安い駅ランキング 2019年版,東京の家賃は、高額だ。特に23区の家賃相場の高さはよく知られているが、その中でも穴場の街や、狙い目の駅はあるはず。そこで、ワンルーム・1K・1DKの物件を対象とした、東京23区内の家賃相...,2019年12月2日 (月)
179,近所に空き家、4割超が「特に何とも思わない」,リビン・テクノロジーズ（株）はこのたび、30歳以上の男女を対象に「空き家の問題・対策」についてアンケート調査を行った。調査は2019年10月31日～11月11日、インターネットで実施。回答数...,2019年11月29日 (金)
180,金沢八景に駅直結型商業施設、2月28日オープン,京浜急行電鉄（株）（京急電鉄）は、金沢八景駅（横浜市金沢区）において、駅直結型商業施設「ウィングキッチン金沢八景」を2020年2月28日（金）にオープンする。,2019年11月29日 (金)
181,首都圏の単身生活者、病気・ケガへの備えは平均43.4点,（株）FJネクスト（東京都新宿区）はこのたび、「病気・ケガへの備え」をテーマに、首都圏の単身生活者「生活事情」アンケート第7弾を実施した。,2019年11月29日 (金)
182,中古マンション価格、下落地域数が増加,（株）東京カンテイは11月27日、2019年10月度「中古マンション価格天気図」を発表した。これは、全国47都道府県のファミリータイプ中古マンション流通事例価格を月ごとに集計し、価格変動を...,2019年11月29日 (金)
183,不動産価格指数、住宅総合は57ヶ月連続上昇,国土交通省はこのたび、2019年8月の「不動産価格指数（住宅）」と第2四半期分「不動産価格指数（商業用不動産）」を発表した。指数は2010年の平均を100としたもの。,2019年11月29日 (金)
184,サブスク型住居サービス「ADDress」を体験。暮らしの新たな価値を見た,「デュアラー（二拠点生活者）」、家を持たない暮らしを送る「アドレスホッパー」など、ひとつの家に留まらない暮らしが注目を集めています。そんななか、定額で全国のゲストハウスやシェア...,2019年11月29日 (金)
185,「タイニーハウス」での暮らしとは？ 日本の最先端が集結,近年、日本でも広がりを見せつつある「タイニーハウス」。「断捨離」を経ての「ミニマム」な生活に憧れ、自分のライフスタイルを簡潔にしたいと考える人は多いようだ。タイニーハウスは、ま...,2019年11月28日 (木)
186,住宅購入はじっくりと。増税前に購入したいと考えた人は昨年より大幅ダウン,リクルート住まいカンパニーの「2019年注文住宅動向・トレンド調査」によると、消費税率10％への増税の影響で、増税前に家を建てたいという人は少なかったという。一方で、防災については意...,2019年11月27日 (水)
187,「ワーケーション」がJALを変えた。地域と出合い、自分を見直す働き方,テレワークの新しい形として広がっている「ワーケーション」。「ワーク」と「バケーション」を組み合わせた造語で、休暇を兼ねて出かけた先でリモートワークを行う新しいワークスタイルであ...,2019年11月27日 (水)
188,「虎ノ門ヒルズ駅」と一体の再開発事業が着工,森ビル（株）は11月25日、同社が参加組合員として参画する「虎ノ門一・二丁目地区第一種市街地再開発事業」（東京都港区）の着工を発表した。,2019年11月26日 (火)
189,日本人の不安、「老後の生活や年金」が8年連続トップ,セコム（株）はこのたび、「日本人の不安に関する意識調査」を行った。調査は2019年10月25日～27日、インターネットで実施。対象は20代以上の男女500名（20-29歳、30-39歳、40-49歳、50-59歳...,2019年11月26日 (火)
